,model,price,specs,processor,core,ram,storage,graphics,display,os
312,Lenovo IdeaPad Slim 3 82RK00EDIN Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹47,490",,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB  RAM,512 GB SSD,‎Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
313,Lenovo IdeaPad Slim 5 82SF008YIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹63,990",66,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
314,HP 15s-fq2673TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹35,990",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
315,HP Victus 15-fb0040AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹53,990",67,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
316,HP Pavilion 14s- fy1003AU Laptop (Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),"₹43,990",,5th Gen AMD Ryzen 5  5500U ,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS
317,HP Victus 15-fa0350TX Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹73,990",74,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
318,Acer Aspire 3 A315-59 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹42,990",,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics ,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
319,Asus Vivobook 15 Touch X515EA-EZ311WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹38,990",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD Graphics,"15.6 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS
320,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 512GB/ MacOS),"₹1,18,990",,Apple M2 Apple M2 Chip,Octa Core,8 GB Unified Memory RAM,512 GB SSD,10-Core GPU,"13.6 inches, 2560 x 1664 pixels",Mac OS
321,Apple MacBook Pro 2022 Laptop (Apple M2/ 8GB/ 512GB SSD/ macOS),"₹1,25,990",,Apple M2 Apple M2 Chip,Octa Core,8 GB  RAM,512 GB SSD,10 Core GPU,"13.3 inches, 2560 x 1600 pixels",Mac OS
322,Asus Vivobook S15 OLED S3502ZA-L502WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹66,990",64,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris XE Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
323,Dell Inspiron 5520 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹70,650",71,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",8 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
324,HP Pavilion 15-eg2002TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹75,685",64,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xᵉ Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
325,HP Chromebook 14a-ca0504TU Laptop (Celeron N4020/ 4GB/ 64GB eMMC/ Chrome OS),"₹16,990",,Intel Celeron  N4020,"Dual Core, 2 Threads",4 GB LPDDR4 RAM,64 GB Hard Disk,Intel Integrated UHD Graphics,"14 inches, 1366 x 768 pixels, Touch Screen",Chrome OS
326,Realme Book Prime Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹49,990",63,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",16 GB LPDDR4X RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 2160 x 1440 pixels",Windows 11 OS
327,HP Pavilion 15-eg2009TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹62,990",62,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
328,HP 14s-fq1089au Laptop (Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),"₹33,499",,5th Gen AMD Ryzen 3  5300U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS
329,Lenovo Ideapad 15ALC6 82KU017KIN Laptop (Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),"₹37,990",,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
330,Xiaomi Mi Notebook Ultra Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10),"₹45,989",64,11th Gen Intel Core i5 11300H ,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 3200 x 2000 pixels",Windows 10  OS
331,Realme Book Slim Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win10),"₹34,990",,11th Gen Intel Core i3 1115G4 ,"Dual Core, 4 Threads",8 GB LPDDR4x  RAM,256 GB SSD,Intel UHD Graphics,"14 inches, 1440 x 2160 pixels",Windows 10 OS
332,Dell Latitude 3420 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Pro),"₹76,199",60,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1366 x 768 pixels",Windows 10  OS
333,Apple MacBook Air 2020 MGN73HN Laptop (Apple M1/ 8GB/ 512GB/ MacOS),"₹1,09,990",,Apple M1 Apple M1 Chip,Octa Core (4P + 4E),8 GB DDR4 RAM,512 GB SSD,Apple M1 Integrated Graphics,"13.3 inches, 2560 x 1600 pixels",Mac OS
334,MSI GP65 Leopard 10SFK-037IN Gaming Laptop (10th Gen Core i7/ 32GB/ 1TB 512GB SSD/ Win10 Home/ 8GB Graph),"₹99,490",85,10th Gen Intel Core i7 10750H,"Hexa Core, 12 Threads",32 GB DDR4 RAM,1 TB Hard Disk,512 GB SSD,8 GB NVIDIA Geforce RTX 2070,"15.6 inches, 1920 x 1080 pixels"
335,HP 15s-fy5006TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹37,990",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
336,Lenovo IdeaPad Slim 5 82XD005RIN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹71,990",,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDR5 RAM,512 GB SSD,Integrated Intel Iris Xe Graphics,"14 inches, 1920 x 1200 pixels",Windows 11 OS
